id,apiVersion,category,description,developerName,dueDate,isReleased,release,releaseDate,releaseLabel,status,stepStage,supportsRevoke,title,createdAt,updatedAt
210609,67,Other,"With this update enabled, Apex batch action results are displayed in the order the requests are received. Currently, error-prone requests are prioritized at the top of the result list, while successful ones are positioned at the bottom.",ApexBatchActionsFix,2026-05-01T00:00:00.000Z,false,67.00.00,,Summer '26,Pending,OverDue,true,Sort Apex Batch Action Results by Request Order,2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
210610,69,Performance,"To optimize performance after large-scale updates to groups or roles, Salesforce performs some sharing recalculations asynchronously. Update Apex code and flows that update group membership or roles if they rely on synchronous sharing recalculation.",ApexAsyncLargeTxnReleaseUpdate,2027-01-01T00:00:00.000Z,false,69.00.00,,Spring '27,Invocable,Upcoming,false,Update Apex Code and Flows for Changed Sharing Recalculation Behavior,2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
210611,70,EndOfLife,"In the Summer ‘27 release, the SOAP API login() call in SOAP API versions 31.0 through 64.0 will no longer be supported and no longer available. For better security, switch to using External Client Applications for authentication prior to the release rollout. We recommend that you test for dependencies in your org by using the provided test feature to temporarily disable the SOAP login() call for API versions 31.0-64.0.",SoapLoginRetirementReleaseUpdate,2027-05-01T00:00:00.000Z,false,70.00.00,,Summer '27,Nascent,Upcoming,true,SOAP API login() Retirement,2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
210612,67,Security,"With this update enabled, the Apex <code>Blob.toPdf()</code> method for PDF rendering uses the same rendering service as Visualforce. The Visualforce PDF rendering service offers improvements such as additional fonts and multibyte character support. This change makes PDF rendering more consistent on the Salesforce Platform.",BlobToPdfVisualforcePdfRenderer,2026-05-01T00:00:00.000Z,false,67.00.00,,Summer '26,Pending,OverDue,true,Use Visualforce PDF Rendering Service with Apex Blob.toPdf(),2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
210613,,Usability,This release update has been postponed indefinitely while we change the implementation to reduce customer impact. The release update won’t be enforced in its present form. Don’t enable it.,DoubleNavApi,,false,,,,Invocable,Upcoming,true,Prevent consecutive API navigation calls,2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
210614,,Usability,"The Label object is now available in the API. (API name: UserDefinedLabel) This change supports the record labeling capability in Sales Cloud. Standard profiles include access to the Label object automatically. If you use custom profiles, add access to the Label object to let users assign labels to records and continue using labels in the To Do List.",UserDefinedLabel,,false,,,,Info,Upcoming,false,Grant Access to the Label Object in Custom Profiles to Continue Using To Do List Labels,2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
210615,68,EndOfLife,"In Winter ’27, we'll stop supporting the OAuth 2.0 username-password flow for connected apps. This update will break all connected app integrations that use this flow. For better security, update your integrations to use the OAuth 2.0 web-server flow or the OAuth 2.0 client credentials flow instead.",OAuthUsrPassFlowEOLReleaseUpdate,2026-09-01T00:00:00.000Z,false,68.00.00,,Winter '27,Info,Upcoming,false,Retirement of OAuth 2.0 Username-Password Flow for Connected Apps,2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
210616,68,EndOfLife,"To prevent disruption when Salesforce ends support for API traffic that uses an incorrect instanced URL, make sure that API traffic to your org uses the org’s My Domain login URL.",ApprouterIncorrectInstancedURLsDeprecation,2026-09-01T00:00:00.000Z,false,68.00.00,,Winter '27,Invocable,Upcoming,true,Update Instanced URLs in API Traffic,2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
210617,,Security,"This update was scheduled to be enforced in Spring ’25. Starting Spring ’25, Salesforce no longer enforces this update, but recommends enabling it. Once enabled, it preserves data integrity by rolling back transactions that end in an exception. When you execute an Apex action using the REST API, the API call doesn’t change Salesforce data if that exception occurs.",RollbackOnErrApexIA,,false,,,,Invocable,Upcoming,true,Enforce Rollbacks for Apex Action Exceptions in REST API,2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
210618,,Usability,"When enabled, this release update replaces the email editor in the docked and case feed email composers. The new email editor is available in Lightning Experience.",TinyMceServiceEmailEditorReleaseUpdate,,false,,,,Invocable,Upcoming,true,Transition to the Lightning Editor for Email Composers in Email-to-Case,2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
210619,67,EndOfLife,"The Salesforce-managed app for the X (formerly Twitter) authentication provider is being retired. This update breaks any single sign-on (SSO) configurations that use the Salesforce-managed X app. To avoid disruptions, create a custom X app and update your SSO configurations.",TwitterAuthProviderEOLReleaseUpdate,2026-05-01T00:00:00.000Z,false,67.00.00,,Summer '26,Info,OverDue,false,Salesforce-Managed X (Formerly Twitter) Authentication Provider Retirement,2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
210620,,Other,"By default, NBA (Next Best Action) widgets refresh every time a user switches between Lightning console tabs. This update allows you to disable tab-switch refresh behavior, making NBA widgets refresh only when the user is on the tab and a change is made on the page.",NbaConsoleContextAgnostic,,false,,,,Invocable,Upcoming,true,Control NBA Widget Refresh in Lightning Console Tabs,2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
210621,67,Usability,"To help meet Web Content Accessibility Guidelines (WCAG) 2.2 for Resize and Reflow, enable Lightning Experience to adapt the behavior of date pickers, popovers, bottom utility bars, and record headers when viewed at high magnification.
            <br>
            This release update is dependent on the <b>Enable Accessibility Enhancements for Page Headers and Modal Windows When Zoom Is Greater Than 200%</b> release update. Make sure to enable that update first.",A11yResizeReflow,2026-05-01T00:00:00.000Z,false,67.00.00,,Summer '26,Pending,OverDue,true,"Enable Accessibility Enhancements for Date Pickers, Popovers, Bottom Utility Bars, Record Headers",2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
210622,68,Security,"If you previously worked with Salesforce Customer Support to disable email change verifications, set up authorized email domains instead. Salesforce is retiring this exemption process of disabling this feature, and authorized email domains provide the same benefit.",DeprecateDisableEmailChangeVerification,2026-09-01T00:00:00.000Z,false,68.00.00,,Winter '27,Info,Upcoming,false,Adopt Authorized Email Domains,2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
210623,,Usability,This release update has been postponed indefinitely while we change the implementation to reduce customer impact. The release update won’t be enforced in its present form. Don’t enable it.,ScopedModalsCRUC,,false,,,,Invocable,Upcoming,true,Keep Working with Tab-Focused Dialogs,2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
210624,,Security,"This update was scheduled to be enforced in Spring ’25. Starting Spring ’25, Salesforce no longer enforces this update, but recommends enabling it. Once enabled, it applies stricter validation to the flow URL parameter that determines where you redirect users after they complete a screen flow.",SecureRedirectionForFlows,,false,,,,Invocable,Upcoming,true,Enable Secure Redirection for Screen Flows,2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
210625,67,Usability,"To help meet Web Content Accessibility Guidelines (WCAG) 2.2 for Resize and Reflow, enable Lightning Experience to adapt the behavior of page headers and modal windows when viewed at high magnification. This is the beginning of our effort to comply with WCAG 2.2 Resize and Reflow guidelines. Expect accessibility enhancements to other UI elements in future release updates.",ComponentAccessibilityWCAGResizeReflowSC,2026-05-01T00:00:00.000Z,false,67.00.00,,Summer '26,Pending,OverDue,true,Enable Accessibility Enhancements for Page Headers and Modal Windows When Zoom Is Greater Than 200%,2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
210626,,Usability,This update fixes a bug with the evaluation criteria in processes that have multiple criteria and a record update.,FlowNullPreviousValueFix,,false,,,,Invocable,Upcoming,true,Evaluate Criteria Based on Original Record Values in Process Builder,2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
210627,,Other,"After the New Order Save Behavior is enabled, whenever an order product update causes a change to the parent order, Salesforce runs custom application logic. Previously, in this scenario, Salesforce didn’t correctly evaluate custom application logic on the parent record. Users will have the option to enable the new behavior in Winter &#39;21.
                <br/><br/> Warning: Packages with orders created before Winter &#39;21 don't support the New Order Save Behavior release update by default. If you use a package involving orders, wait for confirmation from your package provider before enabling the release update.",NewOrderSaveLogicCRUC,,false,,,,Invocable,Upcoming,true,Enable New Order Save Behavior,2026-05-04T00:41:33.802Z,2026-05-04T00:41:33.802Z
